اداره,وحده,من الاولي الي الرابعه,الخامسه والمنشطه,بي سي جي
الحسينيه,الصالحية ثلاثة,الإثنين,الإثنين 4، الأربعاء 1، الأربعاء 3,السبت 2، السبت 4
الحسينيه,الملكيين البحريه,الثلاثاء,الثلاثاء,الثلاثاء 4
الحسينيه,المناجاة الصغري,الأحد، الثلاثاء 4,الأحد 1، الأحد 4,الثلاثاء 4
الحسينيه,المناجاه الكبرى,الأربعاء,الأربعاء 1، الأربعاء 3,السبت 4
الحسينيه,ام  صوير,الإثنين 2، الإثنين 4,الإثنين 2، الإثنين 4,السبت 4
الحسينيه,بحرالبقر,الأحد، الثلاثاء، الخميس,الأحد، الثلاثاء,الثلاثاء
الحسينيه,سبعة الصالحية,الثلاثاء 2، الثلاثاء 4,الثلاثاء 2، الثلاثاء 4,الثلاثاء 2
الحسينيه,سعود,السبت، الإثنين، الثلاثاء، الخميس,الإثنين، الخميس,الثلاثاء
الحسينيه,سماكين الشرق,الثلاثاء,الثلاثاء,الثلاثاء 4
الحسينيه,سماكين الغرب,السبت، الثلاثاء,الثلاثاء,السبت 2، السبت 4
الحسينيه,شراره,الأربعاء 2، الأربعاء 4,الأربعاء 2,
الحسينيه,شهداء بحر البقر اثنان,الإثنين,الإثنين,السبت 4
الحسينيه,عزبه المناجاه,الأحد,الأحد 2، الأحد 4,السبت 5
الحسينيه,عليوة,الإثنين,الإثنين 3، الإثنين 4,الثلاثاء 4
الحسينيه,قصاصين الشرق,الإثنين,الأربعاء 1، الأربعاء 3,السبت 5
الحسينيه,قهبونه,الثلاثاء,الثلاثاء,السبت 5
الحسينيه,كمال عزب,الثلاثاء 2، الثلاثاء 4,الثلاثاء 4,
الحسينيه,مركز طبي الحسينية,السبت، الأحد، الإثنين، الثلاثاء، الأربعاء، الخميس,الأحد، الأربعاء,السبت، الثلاثاء
الحسينيه,منشاه ابوعامر,الثلاثاء,الثلاثاء,الثلاثاء 4
الحسينيه,وحدة طب اسرة بشارة الطحاوى,الثلاثاء,الثلاثاء 3,
الزقازيق,الز هراء,الخميس,الخميس 2، الخميس 4,الخميس 1
الزقازيق,الزقازيق ثالث,السبت، الأحد، الإثنين، الثلاثاء، الأربعاء، الخميس,السبت، الإثنين، الأربعاء، الخميس,السبت، الثلاثاء
الزقازيق,الزقازيق ثان,السبت، الأحد، الإثنين، الثلاثاء، الأربعاء، الخميس,السبت، الأحد، الإثنين، الثلاثاء، الأربعاء، الخميس,السبت، الثلاثاء
الزقازيق,الزنكلون,السبت، الثلاثاء,الثلاثاء,السبت 2، السبت 4
الزقازيق,الشبانات,السبت، الإثنين,الإثنين,السبت 1
الزقازيق,العصلوجى,الأحد، الخميس,الأحد,الخميس 1، الخميس 3
الزقازيق,العلو يه,الإثنين,الإثنين 1، الإثنين 3,الإثنين 4
